          0         1         2         3         4         5         6         7         8         9         10        11        12        13        14        15        16        17
0   1.000000  0.317469 -0.598827  0.402024  0.432470  0.551697  0.396283 -0.793850  0.612720  0.245063  0.396778  0.429337  0.213200  0.146908  0.436928  0.828331  0.801001  0.829065
1   0.317469  1.000000 -0.036198  0.296399  0.203435  0.305012  0.420061 -0.306352  0.288067  0.641243  0.737994  0.757022  0.796004  0.275509  0.162022  0.369658  0.353299  0.367689
2  -0.598827 -0.036198  1.000000 -0.704499 -0.160821 -0.592920 -0.151164  0.647504 -0.644432 -0.047811 -0.031988 -0.032015 -0.031689  0.021528 -0.354563 -0.811788 -0.760048 -0.813381
3   0.402024  0.296399 -0.704499  1.000000  0.130395  0.617577  0.384171 -0.416233  0.514288  0.207602  0.243048  0.233659  0.300648  0.081533  0.352226  0.707106  0.674777  0.709465
4   0.432470  0.203435 -0.160821  0.130395  1.000000  0.305135  0.140216 -0.480156  0.302339 -0.022244  0.427696  0.475473  0.003773  0.179553  0.280099  0.412621  0.426634  0.419398
5   0.551697  0.305012 -0.592920  0.617577  0.305135  1.000000  0.408865 -0.626739  0.445468  0.232146  0.318996  0.343213  0.236769  0.102374  0.338504  0.711410  0.681686  0.714837
6   0.396283  0.420061 -0.151164  0.384171  0.140216  0.408865  1.000000 -0.402475  0.372325  0.442871  0.413101  0.419729  0.390895  0.095274  0.277747  0.465281  0.466851  0.464380
7  -0.793850 -0.306352  0.647504 -0.416233 -0.480156 -0.626739 -0.402475  1.000000 -0.672839 -0.231149 -0.404769 -0.444323 -0.169937 -0.132904 -0.463111 -0.888591 -0.868874 -0.887385
8   0.612720  0.288067 -0.644432  0.514288  0.302339  0.445468  0.372325 -0.672839  1.000000  0.182178  0.322935  0.338296  0.229375  0.118485  0.394952  0.758826  0.731529  0.759423
9   0.245063  0.641243 -0.047811  0.207602 -0.022244  0.232146  0.442871 -0.231149  0.182178  1.000000  0.465319  0.471614  0.577515  0.071592  0.093668  0.258932  0.254770  0.256922
10  0.396778  0.737994 -0.031988  0.243048  0.427696  0.318996  0.413101 -0.404769  0.322935  0.465319  1.000000  0.840151  0.598893  0.331884  0.240069  0.413027  0.407048  0.413382
11  0.429337  0.757022 -0.032015  0.233659  0.475473  0.343213  0.419729 -0.444323  0.338296  0.471614  0.840151  1.000000  0.578860  0.351156  0.276327  0.433718  0.428207  0.433747
12  0.213200  0.796004 -0.031689  0.300648  0.003773  0.236769  0.390895 -0.169937  0.229375  0.577515  0.598893  0.578860  1.000000  0.183744  0.094103  0.279075  0.263360  0.275362
13  0.146908  0.275509  0.021528  0.081533  0.179553  0.102374  0.095274 -0.132904  0.118485  0.071592  0.331884  0.351156  0.183744  1.000000  0.292135  0.150662  0.150848  0.146087
14  0.436928  0.162022 -0.354563  0.352226  0.280099  0.338504  0.277747 -0.463111  0.394952  0.093668  0.240069  0.276327  0.094103  0.292135  1.000000  0.521799  0.554827  0.522369
15  0.828331  0.369658 -0.811788  0.707106  0.412621  0.711410  0.465281 -0.888591  0.758826  0.258932  0.413027  0.433718  0.279075  0.150662  0.521799  1.000000  0.971732  0.997553
16  0.801001  0.353299 -0.760048  0.674777  0.426634  0.681686  0.466851 -0.868874  0.731529  0.254770  0.407048  0.428207  0.263360  0.150848  0.554827  0.971732  1.000000  0.970637
17  0.829065  0.367689 -0.813381  0.709465  0.419398  0.714837  0.464380 -0.887385  0.759423  0.256922  0.413382  0.433747  0.275362  0.146087  0.522369  0.997553  0.970637  1.000000
